,Unnamed: 0,id,submitdate,startdate,datestamp,Modyfikator,Grupa,Odpowiedź,Odpowiedzialność,Płeć,Rok urodzenia,Wykształcenie,Wykształcenie inne,Wykształcenie filozoficzne
220,220,224,2015-04-18 18:46:58,2015-04-18 18:45:06,2015-04-18 18:46:58,Specjalnie,Help,Nie,4.0,Kobieta,1991.0,Wyższe,,Nie
221,221,226,2015-04-18 18:59:33,2015-04-18 18:58:37,2015-04-18 18:59:33,Specjalnie,Help,Tak,2.0,Mężczyzna,1989.0,Wyższe,,Nie
222,222,227,2015-04-18 19:02:08,2015-04-18 19:00:38,2015-04-18 19:02:08,Chciał,Help,Nie,1.0,Kobieta,1990.0,Wyższe,,Nie
223,223,228,2015-04-18 19:09:06,2015-04-18 19:01:53,2015-04-18 19:09:06,Brak przysłówka,Help,Nie,4.0,Kobieta,1981.0,Wyższe,,Nie
224,224,229,2015-04-18 19:04:41,2015-04-18 19:03:23,2015-04-18 19:04:41,Umyślnie,Help,Nie,5.0,Kobieta,1992.0,Średnie,,Nie
226,226,231,2015-04-18 19:07:36,2015-04-18 19:06:20,2015-04-18 19:07:36,Specjalnie,Harm,Tak,1.0,Mężczyzna,1990.0,-oth-,średnie zawodowe,Nie
227,227,232,2015-04-18 19:08:42,2015-04-18 19:07:49,2015-04-18 19:08:42,Z rozmysłem,Harm,Tak,1.0,Kobieta,1988.0,Wyższe,,Nie
229,229,234,2015-04-18 19:12:54,2015-04-18 19:10:52,2015-04-18 19:12:54,Brak przysłówka,Help,Tak,2.0,Kobieta,1994.0,Średnie,,Nie
230,230,235,2015-04-18 20:19:45,2015-04-18 19:11:08,2015-04-18 20:19:45,Świadomie,Help,Tak,5.0,Mężczyzna,1988.0,Wyższe,,Tak
231,231,236,2015-04-18 19:12:48,2015-04-18 19:11:46,2015-04-18 19:12:48,Celowo,Help,Nie,5.0,Kobieta,1986.0,Doktorat,,Tak
234,234,239,2015-04-18 19:18:51,2015-04-18 19:16:28,2015-04-18 19:18:51,Umyślnie,Help,Nie,2.0,Kobieta,1980.0,Doktorat,,Tak
235,235,240,2015-04-18 19:19:43,2015-04-18 19:17:34,2015-04-18 19:19:43,Celowo,Help,Nie,5.0,Mężczyzna,1990.0,Wyższe,,Nie
236,236,241,2015-04-18 19:22:20,2015-04-18 19:21:10,2015-04-18 19:22:20,Zamierzał,Harm,Nie,2.0,Kobieta,1987.0,Wyższe,,Nie
237,237,242,2015-04-18 19:25:50,2015-04-18 19:24:14,2015-04-18 19:25:50,Celowo,Help,Nie,2.0,Kobieta,1994.0,Średnie,,Nie
238,238,243,2015-04-18 19:26:23,2015-04-18 19:24:56,2015-04-18 19:26:23,Specjalnie,Help,Nie,1.0,Mężczyzna,1987.0,Wyższe,,Tak
239,239,244,2015-04-18 19:30:38,2015-04-18 19:28:35,2015-04-18 19:30:38,Świadomie,Harm,Tak,1.0,Mężczyzna,1981.0,-oth-,,Tak
240,240,245,2015-04-18 19:41:10,2015-04-18 19:40:13,2015-04-18 19:41:10,Celowo,Harm,Nie,2.0,Kobieta,1990.0,Wyższe,,Nie
241,241,246,2015-04-18 21:15:45,2015-04-18 19:47:49,2015-04-18 21:15:44,Chciał,Harm,Nie,1.0,Kobieta,1982.0,Wyższe,,Nie
242,242,247,2015-04-18 19:52:19,2015-04-18 19:49:44,2015-04-18 19:52:19,Świadomie,Harm,Tak,1.0,Mężczyzna,1990.0,Wyższe,,Nie
244,244,249,2015-04-18 19:53:26,2015-04-18 19:52:24,2015-04-18 19:53:26,Z rozmysłem,Help,Nie,4.0,Kobieta,1984.0,Wyższe,,Nie
245,245,250,2015-04-18 20:04:34,2015-04-18 20:02:00,2015-04-18 20:04:34,Celowo,Help,Tak,1.0,Kobieta,1980.0,-oth-,niepełne wyższe,Nie
247,247,252,2015-04-18 20:05:35,2015-04-18 20:04:23,2015-04-18 20:05:35,Z rozmysłem,Harm,Tak,1.0,Kobieta,1988.0,Wyższe,,Nie
248,248,253,2015-04-18 20:10:02,2015-04-18 20:06:52,2015-04-18 20:10:02,Świadomie,Help,Nie,5.0,Kobieta,1960.0,Wyższe,,Nie
249,249,254,2015-04-18 20:10:55,2015-04-18 20:07:22,2015-04-18 20:10:55,Umyślnie,Help,Tak,3.0,Kobieta,1991.0,Wyższe,,Nie
250,250,255,2015-04-18 20:11:06,2015-04-18 20:09:28,2015-04-18 20:11:06,Zamierzał,Help,Tak,2.0,Kobieta,1992.0,Wyższe,,Nie
251,251,256,2015-04-18 20:11:18,2015-04-18 20:10:00,2015-04-18 20:11:18,Z rozmysłem,Harm,Nie,1.0,Kobieta,1993.0,Średnie,,Nie
256,256,261,2015-04-18 20:19:44,2015-04-18 20:17:48,2015-04-18 20:19:44,Świadomie,Help,Nie,1.0,Kobieta,1991.0,Wyższe,,Nie
257,257,262,2015-04-18 20:19:55,2015-04-18 20:18:10,2015-04-18 20:19:55,Chciał,Help,Tak,2.0,Kobieta,1986.0,Wyższe,,Nie
259,259,264,2015-04-18 20:24:43,2015-04-18 20:23:09,2015-04-18 20:24:43,Brak przysłówka,Harm,Tak,1.0,Mężczyzna,1979.0,Wyższe,,Nie
260,260,265,2015-04-18 20:47:53,2015-04-18 20:47:00,2015-04-18 20:47:53,Celowo,Harm,Nie,1.0,Kobieta,1990.0,Wyższe,,Tak
265,265,270,2015-04-18 21:22:10,2015-04-18 21:19:28,2015-04-18 21:22:10,Specjalnie,Harm,Nie,3.0,Kobieta,1990.0,Wyższe,,Nie
268,268,273,2015-04-18 21:36:42,2015-04-18 21:35:04,2015-04-18 21:36:42,Świadomie,Harm,Tak,1.0,Kobieta,1990.0,Średnie,,Nie
270,270,275,2015-04-18 22:33:07,2015-04-18 21:39:06,2015-04-18 22:33:07,Umyślnie,Help,Nie,3.0,Kobieta,1989.0,Wyższe,,Nie
272,272,277,2015-04-18 21:44:27,2015-04-18 21:42:55,2015-04-18 21:44:27,Brak przysłówka,Help,Nie,5.0,Kobieta,1999.0,Podstawowe,,Nie
273,273,278,2015-04-18 22:07:04,2015-04-18 22:03:02,2015-04-18 22:07:04,Umyślnie,Help,Tak,4.0,Mężczyzna,1992.0,Średnie,,Nie
274,274,279,2015-04-18 22:12:41,2015-04-18 22:05:16,2015-04-18 22:12:41,Świadomie,Harm,Nie,3.0,Kobieta,1994.0,Średnie,,Nie
275,275,280,2015-04-18 22:13:30,2015-04-18 22:12:24,2015-04-18 22:13:30,Z rozmysłem,Help,Nie,4.0,Kobieta,1995.0,Średnie,,Tak
278,278,286,2015-04-18 22:31:09,2015-04-18 22:29:26,2015-04-18 22:31:09,Z rozmysłem,Help,Nie,4.0,Kobieta,1992.0,Wyższe,,Nie
280,280,288,2015-04-18 23:07:30,2015-04-18 23:06:25,2015-04-18 23:07:30,Umyślnie,Harm,Tak,1.0,Kobieta,1990.0,Wyższe,,Nie
281,281,289,2015-04-18 23:37:39,2015-04-18 23:36:08,2015-04-18 23:37:39,Specjalnie,Help,Nie,2.0,Kobieta,1991.0,Wyższe,,Nie
286,286,294,2015-04-19 10:12:07,2015-04-19 10:10:49,2015-04-19 10:12:07,Specjalnie,Harm,Tak,2.0,Kobieta,1998.0,Podstawowe,,Nie
287,287,295,2015-04-19 10:48:17,2015-04-19 10:47:07,2015-04-19 10:48:17,Umyślnie,Harm,Tak,1.0,Kobieta,1988.0,Wyższe,,Tak
291,291,299,2015-04-19 11:21:07,2015-04-19 11:20:06,2015-04-19 11:21:07,Celowo,Harm,Tak,1.0,Kobieta,1992.0,Wyższe,,Tak
292,292,300,2015-04-19 11:28:56,2015-04-19 11:27:05,2015-04-19 11:28:56,Chciał,Help,Nie,1.0,Kobieta,1977.0,Wyższe,,Nie
293,293,301,2015-04-19 11:33:03,2015-04-19 11:31:25,2015-04-19 11:33:03,Specjalnie,Help,Nie,2.0,Kobieta,1990.0,Wyższe,,Nie
296,296,309,2015-04-19 12:31:06,2015-04-19 12:29:20,2015-04-19 12:31:06,Chciał,Harm,Nie,1.0,Mężczyzna,1976.0,Wyższe,,Nie
298,298,311,2015-04-19 12:33:26,2015-04-19 12:31:53,2015-04-19 12:33:26,Świadomie,Harm,Tak,1.0,Mężczyzna,1990.0,Średnie,,Nie
300,300,313,2015-04-19 13:34:35,2015-04-19 12:39:51,2015-04-19 13:34:35,Umyślnie,Harm,Tak,1.0,Kobieta,1990.0,Wyższe,,Nie
301,301,314,2015-04-19 12:44:23,2015-04-19 12:42:07,2015-04-19 12:44:23,Celowo,Help,Nie,3.0,Mężczyzna,1976.0,Wyższe,,Nie
305,305,320,2015-04-19 13:05:15,2015-04-19 13:04:11,2015-04-19 13:05:15,Świadomie,Help,Nie,5.0,Mężczyzna,1978.0,Wyższe,,Nie
306,306,321,2015-04-19 13:06:45,2015-04-19 13:05:23,2015-04-19 13:06:45,Zamierzał,Harm,Nie,5.0,Kobieta,1987.0,Wyższe,,Nie
308,308,325,2015-04-19 13:13:09,2015-04-19 13:11:32,2015-04-19 13:13:09,Umyślnie,Harm,Tak,1.0,Kobieta,1997.0,Średnie,,Nie
310,310,326,2015-04-19 13:16:21,2015-04-19 13:14:31,2015-04-19 13:16:21,Specjalnie,Help,Nie,4.0,Kobieta,1988.0,Wyższe,,Tak
312,312,328,2015-04-19 13:23:14,2015-04-19 13:21:49,2015-04-19 13:23:14,Chciał,Harm,Nie,1.0,Mężczyzna,1991.0,Wyższe,,Nie
315,315,331,2015-04-19 13:33:12,2015-04-19 13:31:28,2015-04-19 13:33:12,Celowo,Help,Nie,4.0,Mężczyzna,1986.0,Wyższe,,Nie
316,316,332,2015-04-19 13:34:24,2015-04-19 13:33:01,2015-04-19 13:34:24,Świadomie,Help,Nie,4.0,Kobieta,1990.0,Wyższe,,Nie
317,317,333,2015-04-19 13:47:05,2015-04-19 13:45:25,2015-04-19 13:47:05,Z rozmysłem,Help,Nie,2.0,Kobieta,1996.0,Średnie,,Nie
319,319,335,2015-04-19 14:05:51,2015-04-19 14:04:29,2015-04-19 14:05:51,Świadomie,Help,Nie,2.0,Kobieta,1978.0,Wyższe,,Nie
321,321,337,2015-04-19 14:46:52,2015-04-19 14:45:34,2015-04-19 14:46:52,Z rozmysłem,Help,Nie,5.0,Mężczyzna,17.0,-oth-,gimnazjalne,Nie
322,322,338,2015-04-19 14:52:31,2015-04-19 14:50:41,2015-04-19 14:52:31,Z rozmysłem,Harm,Tak,1.0,Kobieta,1988.0,Wyższe,,Nie
323,323,339,2015-04-19 14:54:28,2015-04-19 14:52:16,2015-04-19 14:54:28,Chciał,Help,Nie,3.0,Kobieta,1997.0,Podstawowe,,Nie
324,324,341,2015-04-19 15:04:33,2015-04-19 15:03:07,2015-04-19 15:04:33,Celowo,Help,Nie,5.0,Mężczyzna,1990.0,Wyższe,,Tak
325,325,342,2015-04-19 15:04:39,2015-04-19 15:03:18,2015-04-19 15:04:39,Brak przysłówka,Help,Tak,2.0,Mężczyzna,1993.0,Średnie,,Tak
326,326,343,2015-04-19 15:06:01,2015-04-19 15:04:40,2015-04-19 15:06:00,Brak przysłówka,Help,Tak,2.0,Kobieta,1994.0,Średnie,,Tak
327,327,344,2015-04-19 15:08:29,2015-04-19 15:07:03,2015-04-19 15:08:29,Celowo,Help,Nie,5.0,Kobieta,1989.0,Wyższe,,Tak
330,330,347,2015-04-19 15:09:54,2015-04-19 15:08:46,2015-04-19 15:09:54,Umyślnie,Harm,Tak,1.0,Mężczyzna,1983.0,Doktorat,,Tak
332,332,349,2015-04-19 15:21:13,2015-04-19 15:19:27,2015-04-19 15:21:13,Zamierzał,Harm,Tak,1.0,Mężczyzna,20.0,Średnie,,Nie
333,333,350,2015-04-19 15:23:31,2015-04-19 15:21:28,2015-04-19 15:23:31,Z rozmysłem,Help,Nie,5.0,Kobieta,25.0,Średnie,,Tak
334,334,351,2015-04-19 16:15:04,2015-04-19 15:21:59,2015-04-19 16:15:04,Chciał,Help,Nie,1.0,Kobieta,1995.0,Średnie,,Tak
335,335,352,2015-04-19 15:31:28,2015-04-19 15:27:59,2015-04-19 15:31:28,Specjalnie,Help,Nie,2.0,Kobieta,1979.0,Wyższe,,Nie
337,337,354,2015-04-19 15:29:55,2015-04-19 15:28:23,2015-04-19 15:29:55,Zamierzał,Harm,Nie,1.0,Mężczyzna,1976.0,Wyższe,,Nie
339,339,356,2015-04-19 15:31:33,2015-04-19 15:29:45,2015-04-19 15:31:33,Celowo,Harm,Nie,1.0,Kobieta,1983.0,Wyższe,,Tak
340,340,357,2015-04-19 15:31:27,2015-04-19 15:29:47,2015-04-19 15:31:27,Chciał,Harm,Nie,1.0,Mężczyzna,1992.0,Średnie,,Tak
342,342,359,2015-04-19 15:41:28,2015-04-19 15:39:03,2015-04-19 15:41:28,Specjalnie,Help,Nie,4.0,Kobieta,1979.0,Wyższe,,Nie
343,343,360,2015-04-19 15:41:43,2015-04-19 15:40:00,2015-04-19 15:41:43,Umyślnie,Harm,Tak,1.0,Kobieta,1989.0,Średnie,,Tak
344,344,361,2015-04-19 15:46:47,2015-04-19 15:43:42,2015-04-19 15:46:47,Świadomie,Help,Tak,4.0,Mężczyzna,1995.0,Średnie,,Nie
345,345,362,2015-04-19 15:47:45,2015-04-19 15:46:36,2015-04-19 15:47:45,Z rozmysłem,Harm,Tak,1.0,Mężczyzna,1979.0,Wyższe,,Nie
346,346,363,2015-04-19 15:50:47,2015-04-19 15:49:34,2015-04-19 15:50:47,Z rozmysłem,Help,Nie,4.0,Kobieta,1980.0,Wyższe,,Nie
347,347,364,2015-04-19 15:51:52,2015-04-19 15:50:52,2015-04-19 15:51:52,Świadomie,Help,Nie,5.0,Mężczyzna,1996.0,Średnie,,Nie
348,348,365,2015-04-19 15:54:47,2015-04-19 15:53:25,2015-04-19 15:54:47,Specjalnie,Help,Nie,4.0,Mężczyzna,1997.0,Średnie,,Nie
349,349,366,2015-04-19 15:55:47,2015-04-19 15:54:28,2015-04-19 15:55:47,Celowo,Harm,Nie,2.0,Kobieta,1996.0,Średnie,,Nie
350,350,367,2015-04-19 15:58:53,2015-04-19 15:55:40,2015-04-19 15:58:53,Z rozmysłem,Help,Nie,1.0,Kobieta,1991.0,Wyższe,,Nie
351,351,368,2015-04-19 16:03:25,2015-04-19 15:56:39,2015-04-19 16:03:25,Zamierzał,Harm,Tak,2.0,Kobieta,1992.0,Wyższe,,Nie
352,352,369,2015-04-19 16:03:10,2015-04-19 16:00:54,2015-04-19 16:03:10,Brak przysłówka,Help,Tak,1.0,Kobieta,1968.0,Wyższe,,Nie
353,353,370,2015-04-19 16:05:51,2015-04-19 16:04:28,2015-04-19 16:05:51,Brak przysłówka,Help,Nie,4.0,Kobieta,1992.0,Wyższe,,Tak
355,355,372,2015-04-19 16:10:34,2015-04-19 16:09:16,2015-04-19 16:10:34,Zamierzał,Help,Nie,2.0,Kobieta,1992.0,Średnie,,Tak
356,356,373,2015-04-19 16:12:29,2015-04-19 16:10:50,2015-04-19 16:12:29,Z rozmysłem,Harm,Tak,1.0,Mężczyzna,1959.0,Wyższe,,Tak
359,359,376,2015-04-19 16:24:29,2015-04-19 16:22:54,2015-04-19 16:24:29,Chciał,Help,Nie,1.0,Kobieta,1976.0,Wyższe,,Tak
360,360,377,2015-04-19 16:28:33,2015-04-19 16:26:44,2015-04-19 16:28:33,Zamierzał,Help,Nie,3.0,Mężczyzna,1978.0,Wyższe,,Nie
361,361,378,2015-04-19 16:29:39,2015-04-19 16:27:17,2015-04-19 16:29:39,Brak przysłówka,Help,Tak,3.0,Kobieta,1989.0,Wyższe,,Nie
363,363,380,2015-04-19 16:33:45,2015-04-19 16:30:11,2015-04-19 16:33:45,Specjalnie,Harm,Tak,2.0,Mężczyzna,1971.0,Wyższe,,Nie
364,364,381,2015-04-19 16:32:47,2015-04-19 16:31:30,2015-04-19 16:32:47,Brak przysłówka,Harm,Tak,1.0,Mężczyzna,1948.0,Habilitacja Plus,,Nie
365,365,382,2015-04-19 16:36:32,2015-04-19 16:34:57,2015-04-19 16:36:32,Świadomie,Help,Tak,4.0,Kobieta,1984.0,Wyższe,,Nie
367,367,384,2015-04-19 16:50:41,2015-04-19 16:40:23,2015-04-19 16:50:41,Z rozmysłem,Help,Nie,1.0,Kobieta,1997.0,Podstawowe,,Nie
368,368,386,2015-04-19 16:44:31,2015-04-19 16:42:30,2015-04-19 16:44:31,Specjalnie,Harm,Tak,1.0,Kobieta,1985.0,Wyższe,,Tak
369,369,388,2015-04-19 16:50:20,2015-04-19 16:48:32,2015-04-19 16:50:20,Celowo,Help,Nie,1.0,Kobieta,1984.0,Wyższe,,Nie
370,370,390,2015-04-19 16:59:42,2015-04-19 16:58:14,2015-04-19 16:59:42,Z rozmysłem,Help,Nie,5.0,Kobieta,1985.0,Wyższe,,Nie
371,371,391,2015-04-19 17:01:07,2015-04-19 16:59:24,2015-04-19 17:01:07,Z rozmysłem,Harm,Tak,1.0,Mężczyzna,1992.0,Wyższe,,Nie
373,373,393,2015-04-19 17:06:12,2015-04-19 17:05:25,2015-04-19 17:06:12,Chciał,Help,Nie,2.0,Mężczyzna,1994.0,Wyższe,,Nie
374,374,394,2015-04-19 17:37:52,2015-04-19 17:05:27,2015-04-19 17:37:52,Brak przysłówka,Help,Tak,2.0,Kobieta,1993.0,Średnie,,Nie
377,377,397,2015-04-19 17:14:47,2015-04-19 17:13:09,2015-04-19 17:14:47,Umyślnie,Help,Nie,4.0,Kobieta,1974.0,Wyższe,,Nie
378,378,398,2015-04-19 17:15:53,2015-04-19 17:14:11,2015-04-19 17:15:53,Celowo,Help,Nie,2.0,Kobieta,1992.0,Średnie,,Nie
379,379,399,2015-04-19 17:15:56,2015-04-19 17:14:58,2015-04-19 17:15:56,Zamierzał,Help,Nie,2.0,Mężczyzna,1992.0,Średnie,,Nie
382,382,402,2015-04-19 17:23:07,2015-04-19 17:19:19,2015-04-19 17:23:07,Umyślnie,Help,Nie,1.0,Kobieta,1979.0,Wyższe,,Nie
383,383,403,2015-04-19 17:21:03,2015-04-19 17:19:23,2015-04-19 17:21:03,Chciał,Harm,Tak,1.0,Kobieta,1986.0,Średnie,,Nie
384,384,404,2015-04-19 17:23:41,2015-04-19 17:20:04,2015-04-19 17:23:41,Zamierzał,Harm,Nie,1.0,Kobieta,1993.0,Średnie,,Nie
385,385,405,2015-04-19 17:27:45,2015-04-19 17:26:29,2015-04-19 17:27:45,Z rozmysłem,Harm,Tak,1.0,Kobieta,1972.0,Doktorat,,Nie
386,386,406,2015-04-19 17:31:34,2015-04-19 17:30:34,2015-04-19 17:31:34,Brak przysłówka,Help,Nie,4.0,Mężczyzna,1998.0,Podstawowe,,Nie
387,387,407,2015-04-19 17:32:39,2015-04-19 17:30:54,2015-04-19 17:32:39,Specjalnie,Help,Nie,2.0,Kobieta,1973.0,Wyższe,,Nie
388,388,408,2015-04-19 17:32:53,2015-04-19 17:31:02,2015-04-19 17:32:53,Specjalnie,Harm,Nie,1.0,Mężczyzna,1971.0,Wyższe,,Nie
389,389,409,2015-04-19 17:35:56,2015-04-19 17:34:23,2015-04-19 17:35:56,Specjalnie,Harm,Nie,1.0,Kobieta,1993.0,Średnie,,Nie
390,390,410,2015-04-19 17:36:19,2015-04-19 17:35:21,2015-04-19 17:36:19,Celowo,Harm,Tak,1.0,Kobieta,1992.0,Wyższe,,Nie
392,392,412,2015-04-19 17:45:53,2015-04-19 17:44:38,2015-04-19 17:45:53,Celowo,Help,Nie,1.0,Mężczyzna,1984.0,Wyższe,,Nie
393,393,413,2015-04-19 17:54:33,2015-04-19 17:45:50,2015-04-19 17:54:33,Świadomie,Help,Nie,4.0,Kobieta,1970.0,Wyższe,,Nie
394,394,414,2015-04-19 17:48:40,2015-04-19 17:46:28,2015-04-19 17:48:40,Umyślnie,Help,Nie,1.0,Mężczyzna,1990.0,Średnie,,Nie
395,395,415,2015-04-19 17:52:27,2015-04-19 17:51:13,2015-04-19 17:52:27,Chciał,Harm,Tak,1.0,Kobieta,1957.0,Wyższe,,Tak
396,396,416,2015-04-19 17:53:30,2015-04-19 17:51:49,2015-04-19 17:53:30,Zamierzał,Help,Nie,2.0,Kobieta,1992.0,Średnie,,Nie
397,397,417,2015-04-19 17:55:32,2015-04-19 17:54:18,2015-04-19 17:55:32,Chciał,Harm,Nie,1.0,Mężczyzna,1993.0,Wyższe,,Tak
399,399,419,2015-04-19 17:56:49,2015-04-19 17:55:46,2015-04-19 17:56:49,Z rozmysłem,Help,Nie,3.0,Kobieta,1971.0,Wyższe,,Nie
401,401,421,2015-04-19 18:02:38,2015-04-19 18:01:29,2015-04-19 18:02:38,Świadomie,Help,Tak,2.0,Mężczyzna,1995.0,Średnie,,Nie
402,402,422,2015-04-19 18:04:32,2015-04-19 18:02:38,2015-04-19 18:04:32,Z rozmysłem,Harm,Tak,1.0,Mężczyzna,1993.0,Średnie,,Nie
403,403,423,2015-04-19 18:19:39,2015-04-19 18:03:38,2015-04-19 18:19:39,Celowo,Help,Nie,3.0,Mężczyzna,1995.0,Średnie,,Nie
405,405,425,2015-04-19 18:05:51,2015-04-19 18:04:15,2015-04-19 18:05:51,Brak przysłówka,Help,Tak,5.0,Kobieta,1994.0,Średnie,,Nie
406,406,426,2015-04-19 18:06:02,2015-04-19 18:04:30,2015-04-19 18:06:02,Z rozmysłem,Help,Tak,1.0,Kobieta,1991.0,Wyższe,,Nie
407,407,427,2015-04-19 18:26:50,2015-04-19 18:04:59,2015-04-19 18:26:50,Chciał,Help,Nie,3.0,Kobieta,1995.0,Średnie,,Nie
408,408,428,2015-04-19 18:06:39,2015-04-19 18:05:22,2015-04-19 18:06:39,Chciał,Harm,Nie,1.0,Mężczyzna,1992.0,Wyższe,,Nie
409,409,429,2015-04-19 18:08:11,2015-04-19 18:06:21,2015-04-19 18:08:11,Umyślnie,Help,Nie,3.0,Mężczyzna,1992.0,Średnie,,Nie
410,410,430,2015-04-19 18:09:46,2015-04-19 18:08:12,2015-04-19 18:09:46,Zamierzał,Help,Nie,1.0,Kobieta,1987.0,Wyższe,,Nie
412,412,432,2015-04-19 18:13:52,2015-04-19 18:12:48,2015-04-19 18:13:52,Brak przysłówka,Help,Tak,4.0,Kobieta,1993.0,Wyższe,,Nie
413,413,433,2015-04-19 18:13:57,2015-04-19 18:12:51,2015-04-19 18:13:57,Z rozmysłem,Help,Nie,4.0,Kobieta,1992.0,Średnie,,Tak
415,415,435,2015-04-19 18:23:35,2015-04-19 18:13:29,2015-04-19 18:23:35,Celowo,Harm,Tak,1.0,Mężczyzna,1987.0,Wyższe,,Tak
416,416,436,2015-04-19 18:17:03,2015-04-19 18:15:29,2015-04-19 18:17:03,Specjalnie,Harm,Tak,1.0,Mężczyzna,1988.0,Wyższe,,Tak
417,417,437,2015-04-19 18:18:44,2015-04-19 18:17:00,2015-04-19 18:18:44,Świadomie,Help,Tak,5.0,Kobieta,1989.0,Wyższe,,Nie
418,418,438,2015-04-19 18:21:39,2015-04-19 18:17:48,2015-04-19 18:21:39,Zamierzał,Help,Nie,4.0,Kobieta,1989.0,Wyższe,,Nie
419,419,439,2015-04-19 18:21:25,2015-04-19 18:18:47,2015-04-19 18:21:25,Umyślnie,Harm,Tak,1.0,Kobieta,1984.0,Wyższe,,Nie
420,420,440,2015-04-19 18:21:45,2015-04-19 18:20:11,2015-04-19 18:21:45,Specjalnie,Help,Nie,4.0,Kobieta,1993.0,Wyższe,,Nie
421,421,441,2015-04-19 18:23:19,2015-04-19 18:21:33,2015-04-19 18:23:19,Świadomie,Help,Tak,1.0,Kobieta,1994.0,Średnie,,Nie
422,422,442,2015-04-19 18:23:56,2015-04-19 18:22:43,2015-04-19 18:23:56,Z rozmysłem,Harm,Nie,2.0,Kobieta,1991.0,Wyższe,,Tak
423,423,443,2015-04-19 18:31:24,2015-04-19 18:29:49,2015-04-19 18:31:24,Chciał,Help,Nie,5.0,Mężczyzna,1987.0,Wyższe,,Tak
424,424,444,2015-04-19 18:33:30,2015-04-19 18:32:18,2015-04-19 18:33:30,Umyślnie,Harm,Tak,1.0,Kobieta,1989.0,Wyższe,,Nie
425,425,445,2015-04-19 18:35:15,2015-04-19 18:34:04,2015-04-19 18:35:15,Chciał,Help,Nie,2.0,Kobieta,1989.0,Wyższe,,Nie
426,426,446,2015-04-19 18:37:06,2015-04-19 18:35:20,2015-04-19 18:37:06,Świadomie,Harm,Tak,2.0,Mężczyzna,1993.0,Średnie,,Nie
428,428,448,2015-04-19 18:39:51,2015-04-19 18:38:30,2015-04-19 18:39:50,Specjalnie,Help,Tak,1.0,Kobieta,1985.0,Wyższe,,Tak
429,429,449,2015-04-19 18:41:05,2015-04-19 18:38:40,2015-04-19 18:41:05,Świadomie,Harm,Tak,1.0,Kobieta,1952.0,Wyższe,,Nie
431,431,451,2015-04-19 18:40:15,2015-04-19 18:39:02,2015-04-19 18:40:15,Zamierzał,Harm,Nie,1.0,Mężczyzna,1971.0,Doktorat,,Nie
432,432,452,2015-04-19 18:46:40,2015-04-19 18:44:33,2015-04-19 18:46:40,Brak przysłówka,Harm,Tak,2.0,Kobieta,1991.0,Średnie,,Nie
433,433,453,2015-04-19 18:46:21,2015-04-19 18:45:03,2015-04-19 18:46:21,Chciał,Harm,Tak,1.0,Kobieta,34.0,Wyższe,,Nie
434,434,454,2015-04-19 18:46:55,2015-04-19 18:45:35,2015-04-19 18:46:55,Umyślnie,Help,Nie,1.0,Mężczyzna,1988.0,Wyższe,,Nie
435,435,455,2015-04-19 18:50:30,2015-04-19 18:46:59,2015-04-19 18:50:30,Umyślnie,Harm,Tak,1.0,Kobieta,1960.0,Średnie,,Nie
437,437,457,2015-04-19 18:49:39,2015-04-19 18:48:36,2015-04-19 18:49:39,Chciał,Harm,Nie,1.0,Kobieta,1981.0,Doktorat,,Tak
439,439,459,2015-04-19 18:54:02,2015-04-19 18:52:40,2015-04-19 18:54:02,Specjalnie,Harm,Nie,1.0,Mężczyzna,1984.0,Wyższe,,Nie
440,440,460,2015-04-19 18:56:38,2015-04-19 18:55:43,2015-04-19 18:56:38,Świadomie,Help,Nie,5.0,Kobieta,1988.0,Średnie,,Nie
441,441,461,2015-04-19 18:59:08,2015-04-19 18:56:35,2015-04-19 18:59:08,Świadomie,Harm,Tak,1.0,Mężczyzna,1991.0,Wyższe,,Nie
442,442,462,2015-04-19 18:58:53,2015-04-19 18:58:26,2015-04-19 18:58:53,Chciał,Harm,Nie,3.0,Mężczyzna,1988.0,Średnie,,Tak
444,444,464,2015-04-19 19:02:17,2015-04-19 19:01:04,2015-04-19 19:02:17,Zamierzał,Harm,Nie,1.0,Kobieta,1987.0,Wyższe,,Nie
446,446,466,2015-04-19 19:10:14,2015-04-19 19:08:45,2015-04-19 19:10:14,Chciał,Harm,Tak,2.0,Kobieta,1992.0,Wyższe,,Nie
448,448,469,2015-04-19 19:14:17,2015-04-19 19:12:45,2015-04-19 19:14:17,Umyślnie,Harm,Nie,1.0,Kobieta,21.0,Średnie,,Nie
449,449,470,2015-04-19 19:14:22,2015-04-19 19:12:49,2015-04-19 19:14:22,Świadomie,Help,Tak,3.0,Kobieta,1990.0,Wyższe,,Tak
451,451,472,2015-04-19 19:15:35,2015-04-19 19:13:39,2015-04-19 19:15:35,Celowo,Help,Nie,4.0,Kobieta,1991.0,-oth-,5 rok studiów,Nie
452,452,473,2015-04-19 20:32:57,2015-04-19 19:15:36,2015-04-19 20:32:57,Świadomie,Harm,Tak,1.0,Kobieta,1988.0,Wyższe,,Tak
454,454,475,2015-04-19 19:18:14,2015-04-19 19:17:10,2015-04-19 19:18:14,Chciał,Help,Nie,1.0,Kobieta,1989.0,Wyższe,,Nie
456,456,477,2015-04-19 19:21:24,2015-04-19 19:17:48,2015-04-19 19:21:24,Umyślnie,Harm,Nie,1.0,Mężczyzna,1988.0,Wyższe,,Tak
